"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2022","3,592.9","3,654.9","3,680.5","3,584.5","","-1.71%"
"09/29/2022","3,655.3","3,713.9","3,721.2","3,610.5","","-1.55%"
"09/28/2022","3,713.0","3,650.3","3,736.3","3,601.6","","1.74%"
"09/27/2022","3,649.4","3,665.6","3,717.8","3,622.7","","-0.43%"
"09/26/2022","3,665.3","3,688.0","3,715.8","3,644.6","","-0.62%"
"09/25/2022","3,688.3","3,693.6","3,701.1","3,675.8","","-0.24%"
"09/23/2022","3,697.1","3,764.3","3,768.3","3,647.2","","-1.79%"
"09/22/2022","3,764.6","3,766.2","3,817.1","3,749.2","","-0.03%"
"09/21/2022","3,765.8","3,858.2","3,907.7","3,764.6","","-2.40%"
"09/20/2022","3,858.5","3,912.9","3,918.3","3,827.7","","-1.40%"
"09/19/2022","3,913.4","3,876.8","3,913.6","3,830.3","","0.94%"
"09/18/2022","3,877.1","3,873.9","3,880.9","3,868.2","","-0.15%"
"09/16/2022","3,882.9","3,877.8","3,883.5","3,837.1","","0.15%"
"09/15/2022","3,877.0","3,952.3","3,959.2","3,870.8","","-1.92%"
"09/14/2022","3,952.8","3,939.2","3,961.6","3,911.9","","0.35%"
"09/13/2022","3,939.0","4,115.4","4,149.2","3,921.2","","-4.28%"
"09/12/2022","4,115.2","4,077.4","4,120.5","4,063.1","","0.93%"
"09/11/2022","4,077.4","4,081.0","4,087.8","4,077.3","","0.28%"
"09/09/2022","4,066.1","4,009.3","4,076.7","4,008.6","","1.42%"
"09/08/2022","4,009.1","3,976.0","4,011.7","3,942.2","","0.82%"
"09/07/2022","3,976.3","3,905.8","3,988.2","3,883.8","","1.78%"
"09/06/2022","3,906.6","3,939.3","3,962.6","3,887.1","","-0.82%"
"09/05/2022","3,938.8","3,932.7","3,946.3","3,919.0","","0.14%"
"09/04/2022","3,933.4","3,930.3","3,933.9","3,915.9","","0.03%"
"09/02/2022","3,932.3","3,968.7","4,018.6","3,906.1","","-0.92%"
"09/01/2022","3,968.9","3,934.7","3,973.5","3,903.2","","0.88%"
"08/31/2022","3,934.4","3,987.3","4,017.1","3,927.9","","-1.31%"
"08/30/2022","3,986.8","4,040.6","4,071.7","3,965.0","","-1.34%"
"08/29/2022","4,040.8","4,012.7","4,063.3","4,007.2","","0.69%"
"08/28/2022","4,013.1","4,023.7","4,031.2","4,010.2","","-0.75%"
"08/26/2022","4,043.6","4,194.9","4,215.9","4,043.5","","-3.61%"
"08/25/2022","4,195.2","4,143.6","4,200.9","4,141.4","","1.25%"
