from,to,weight
Female,C,21.36371341
Female,I,3.916963284
Female,M,20.68330952
Female,O,4.045295689
Male,C,19.52508939
Male,I,5.331848229
Male,M,20.55255575
Male,O,4.581224727
C,ESTABLISHED FAMILY,3.735360824
C,GOLDEN AGER,2.842683842
C,MATURE COUPLE,2.861247649
C,MATURE SINGLE,13.22711607
C,Minors,0.098468889
C,NEST BUILDER,4.789462215
C,YOUNG COUPLE,1.506089736
C,YOUNG SINGLE,11.82837357
I,ESTABLISHED FAMILY,0.497994302
I,GOLDEN AGER,0.374504629
I,MATURE COUPLE,0.964510844
I,MATURE SINGLE,2.465757847
I,Minors,0.019370929
I,NEST BUILDER,1.206647457
I,YOUNG COUPLE,0.713495888
I,YOUNG SINGLE,3.006529617
M,ESTABLISHED FAMILY,1.54725296
M,GOLDEN AGER,0.497994302
M,MATURE COUPLE,4.603824144
M,MATURE SINGLE,7.482828478
M,Minors,0.11057572
M,NEST BUILDER,5.726530909
M,YOUNG COUPLE,7.32543968
M,YOUNG SINGLE,13.94141908
O,ESTABLISHED FAMILY,0.711074522
O,GOLDEN AGER,0.525436451
O,MATURE COUPLE,0.896712592
O,MATURE SINGLE,2.8338055
O,Minors,0.004842732
O,NEST BUILDER,1.241353705
O,YOUNG COUPLE,0.772415797
O,YOUNG SINGLE,1.640879117
ESTABLISHED FAMILY,NO,5.243871926
ESTABLISHED FAMILY,YES,1.247810681
GOLDEN AGER,NO,3.888714012
GOLDEN AGER,YES,0.351905212
MATURE COUPLE,NO,8.169689339
MATURE COUPLE,YES,1.15660589
MATURE SINGLE,NO,22.05218851
MATURE SINGLE,YES,3.957319386
Minors,NO,0.190480803
Minors,YES,0.042777468
NEST BUILDER,NO,10.23430753
NEST BUILDER,YES,2.729686756
YOUNG COUPLE,NO,8.698354278
YOUNG COUPLE,YES,1.619086822
YOUNG SINGLE,NO,25.09503862
YOUNG SINGLE,YES,5.322162764
