from,to,weight
ESTABLISHED FAMILY,1-2y,0.2
ESTABLISHED FAMILY,1-3m,1.25
ESTABLISHED FAMILY,2-3y,0.19
ESTABLISHED FAMILY,3-5y,0.17
ESTABLISHED FAMILY,3-6m,0.3
ESTABLISHED FAMILY,5-10y,0.15
ESTABLISHED FAMILY,6-12m,0.21
ESTABLISHED FAMILY,>10y,4.01
GOLDEN AGER,1-2y,0.1
GOLDEN AGER,1-3m,0.53
GOLDEN AGER,2-3y,0.09
GOLDEN AGER,3-5y,0.09
GOLDEN AGER,3-6m,0.12
GOLDEN AGER,5-10y,0.07
GOLDEN AGER,6-12m,0.08
GOLDEN AGER,>10y,3.17
MATURE COUPLE,1-2y,0.26
MATURE COUPLE,1-3m,2.48
MATURE COUPLE,2-3y,0.22
MATURE COUPLE,3-5y,0.21
MATURE COUPLE,3-6m,0.37
MATURE COUPLE,5-10y,0.19
MATURE COUPLE,6-12m,0.26
MATURE COUPLE,>10y,5.34
MATURE SINGLE,1-2y,0.69
MATURE SINGLE,1-3m,4.67
MATURE SINGLE,2-3y,0.62
MATURE SINGLE,3-5y,0.58
MATURE SINGLE,3-6m,0.81
MATURE SINGLE,5-10y,0.58
MATURE SINGLE,6-12m,0.66
MATURE SINGLE,>10y,17.41
Minors,1-2y,0.01
Minors,1-3m,0.11
Minors,2-3y,0.0
Minors,3-5y,0.0
Minors,3-6m,0.01
Minors,5-10y,0.0
Minors,6-12m,0.01
Minors,>10y,0.09
NEST BUILDER,1-2y,0.52
NEST BUILDER,1-3m,3.19
NEST BUILDER,2-3y,0.39
NEST BUILDER,3-5y,0.42
NEST BUILDER,3-6m,0.69
NEST BUILDER,5-10y,0.41
NEST BUILDER,6-12m,0.53
NEST BUILDER,>10y,6.82
YOUNG COUPLE,1-2y,0.36
YOUNG COUPLE,1-3m,4.59
YOUNG COUPLE,2-3y,0.31
YOUNG COUPLE,3-5y,0.28
YOUNG COUPLE,3-6m,0.55
YOUNG COUPLE,5-10y,0.24
YOUNG COUPLE,6-12m,0.45
YOUNG COUPLE,>10y,3.54
YOUNG SINGLE,1-2y,1.03
YOUNG SINGLE,1-3m,11.19
YOUNG SINGLE,2-3y,0.91
YOUNG SINGLE,3-5y,0.85
YOUNG SINGLE,3-6m,1.67
YOUNG SINGLE,5-10y,0.78
YOUNG SINGLE,6-12m,1.1
YOUNG SINGLE,>10y,12.89
1-2y,C,1.34
1-2y,I,0.3
1-2y,M,1.26
1-2y,O,0.27
1-3m,C,8.15
1-3m,I,2.35
1-3m,M,15.65
1-3m,O,1.87
2-3y,C,1.17
2-3y,I,0.23
2-3y,M,1.07
2-3y,O,0.26
3-5y,C,1.15
3-5y,I,0.22
3-5y,M,0.99
3-5y,O,0.23
3-6m,C,1.63
3-6m,I,0.44
3-6m,M,2.12
3-6m,O,0.33
5-10y,C,1.11
5-10y,I,0.2
5-10y,M,0.91
5-10y,O,0.2
6-12m,C,1.05
6-12m,I,0.3
6-12m,M,1.68
6-12m,O,0.28
>10y,C,25.3
>10y,I,5.22
>10y,M,17.55
>10y,O,5.19
C,NO,33.27
C,YES,7.61
I,NO,8.08
I,YES,1.17
M,NO,35.03
M,YES,6.2
O,NO,7.19
O,YES,1.44
